Metrics,MobileNetV2 (Proposed),MNv3-Small,ResNet-18,ShuffleNet V2,SqueezeNet 1.0
Accuracy,0.8306,0.8089,0.7938,0.757,0.6467
F1-Score,0.8636,0.8568,0.8277,0.7887,0.7855
AUC-ROC,0.8999,0.8341,0.8796,0.8716,0.7362
Balanced Acc,0.831,0.7777,0.8054,0.7802,0.5
Precision,0.9007,0.8312,0.9004,0.9011,0.6467
Recall (Sens.),0.8294,0.8841,0.7659,0.7012,1
Specificity,0.8327,0.6714,0.8449,0.8592,0
MCC,0.6448,0.573,0.5869,0.5358,0
Cohen's Kappa,0.641,0.5705,0.5751,0.5131,0
Log Loss (BCE),0.4493,0.4516,0.5131,0.5691,0.6867
False Positive Rate,0.1673,0.3286,0.1551,0.1408,1
False Negative Rate,0.1706,0.1159,0.2341,0.2988,0
